fold,n_samples,overall_accuracy,balanced_accuracy,cohens_kappa,macro_f1
0,7,1.0,1.0,,1.0
1,28,0.7857142857142857,0.3333333333333333,0.1063829787234043,0.29931972789115646
2,13,0.46153846153846156,0.48333333333333334,0.20175438596491235,0.4217948717948718
3,10,0.5,0.5476190476190476,0.180327868852459,0.3481481481481481
