fold,n_samples,overall_accuracy,balanced_accuracy,cohens_kappa,macro_f1
0,7,1.0,1.0,,1.0
1,28,0.7857142857142857,0.3333333333333333,0.1063829787234043,0.29931972789115646
2,13,0.3076923076923077,0.3333333333333333,-0.02631578947368407,0.2871794871794872
3,10,0.7,0.5,0.18918918918918926,0.2916666666666667
