stand_id,h_max,h_mean,h_std,h_p25,h_p50,h_p75,h_p95,cover_fraction,n_veg_pts
BK_SPRUCE1,48.63128662109375,25.40041732788086,9.069122314453125,19.13726806640625,26.31524658203125,32.38653564453125,38.72832107543945,0.9964472615717765,181706
BK_SPRUCE2,42.85601806640625,21.328332901000977,8.428189277648926,15.4210205078125,21.196044921875,27.89801025390625,34.67901611328125,0.9796088313456288,238731
BK_SPRUCE3,55.47320556640625,17.398529052734375,10.225698471069336,9.15618896484375,16.26318359375,23.71917724609375,35.6215934753418,0.9737913000044073,112366
BK_SPRUCE4,53.39959716796875,32.48516082763672,9.177814483642578,27.57061767578125,33.56561279296875,38.78759765625,45.59759521484375,0.9957168083960575,155224
BK_SPRUCE5,57.26300048828125,30.63732147216797,12.653019905090332,22.81500244140625,33.24700927734375,40.18946838378906,47.5880126953125,0.9811359990493732,65423
BK_SPRUCE6,41.4437255859375,18.65126609802246,8.856010437011719,12.0377197265625,18.59771728515625,25.802734375,32.60272216796875,0.9695360756998291,160411
BK_SPRUCE7,43.14141845703125,17.43462562561035,7.685410022735596,11.8294677734375,16.4034423828125,22.47344970703125,31.84756851196289,0.9969165527525786,248174
HY_BIRCH1,29.8179931640625,15.034989356994629,6.260903835296631,9.754989624023438,15.746994018554688,20.41400146484375,23.972000122070312,0.9926068040232332,1014413
HY_BIRCH2,34.220001220703125,17.462717056274414,6.88958215713501,13.347991943359375,18.699996948242188,22.61700439453125,26.873001098632812,0.9385695353865116,833150
HY_BIRCH3,27.511001586914062,14.571362495422363,6.292830944061279,10.32000732421875,15.985000610351562,19.511001586914062,22.86700439453125,0.9372466432983747,1123847
HY_BIRCH4,23.69000244140625,12.446931838989258,4.32438850402832,9.6719970703125,13.239990234375,15.656997680664062,18.430999755859375,0.9811565227841325,1016055
HY_MIXED1,49.94599914550781,24.225576400756836,10.00743293762207,16.224990844726562,24.149002075195312,32.45500183105469,39.85499572753906,0.9867712218840997,999145
HY_MIXED2,25.60400390625,11.408587455749512,4.984050750732422,8.046005249023438,12.092010498046875,15.125,18.672012329101562,0.9429911961621593,1150608
HY_PINE1,27.141998291015625,14.692967414855957,5.83382511138916,12.261001586914062,16.33099365234375,18.802993774414062,21.781005859375,0.9455650471762197,563109
HY_PINE10,18.578994750976562,6.23694372177124,3.221229314804077,3.964996337890625,5.7249908447265625,7.9759979248046875,12.6669921875,0.411009914363164,291262
HY_PINE11,14.845001220703125,4.738763809204102,2.3386316299438477,3.0030059814453125,4.4730072021484375,6.138252258300781,9.136052131652832,0.2298967283232657,159334
HY_PINE12,21.729995727539062,10.611638069152832,4.145222187042236,8.657989501953125,11.412994384765625,13.451995849609375,16.162994384765625,0.5249157854472317,321398
HY_PINE13,17.46099853515625,7.0789337158203125,2.9829952716827393,5.0370025634765625,7.20001220703125,9.207000732421875,11.852005004882812,0.5668602012915237,429328
HY_PINE2,28.542999267578125,13.362445831298828,4.933415412902832,9.833999633789062,14.06201171875,17.105010986328125,20.482009887695312,0.9757812761441268,823498
HY_PINE3,28.711990356445312,16.03774070739746,6.692542552947998,12.641998291015625,18.399993896484375,20.853988647460938,23.573989868164062,0.9736442463136237,1067179
HY_PINE4,26.546005249023438,12.860414505004883,4.800297737121582,9.126007080078125,13.320999145507812,16.722000122070312,19.819000244140625,0.9866372557620725,847501
HY_PINE5,28.229995727539062,12.610934257507324,7.296350955963135,5.0019989013671875,14.602996826171875,18.554000854492188,22.468002319335938,0.6910413284230257,588768
HY_PINE6,30.720001220703125,16.980131149291992,6.318047046661377,15.244003295898438,18.602005004882812,21.128997802734375,24.395004272460938,0.8870092928073817,562088
HY_PINE7,22.800994873046875,5.098462104797363,4.293177127838135,2.298004150390625,3.5370025634765625,6.3280029296875,14.753997802734375,0.43639246295505824,280256
HY_PINE8,31.498001098632812,15.100950241088867,6.220293045043945,10.021011352539062,16.035003662109375,20.0469970703125,24.04901123046875,0.9576438635443285,793808
HY_PINE9,28.643997192382812,14.858351707458496,6.874979496002197,10.563507080078125,17.175003051757812,19.995010375976562,22.951004028320312,0.8322426245260187,584977
